"","tf","es","lens","pvals","z","qvals"
"ERG","ERG",0.507022124186454,42,0.1292,1.12774096175457,0.307492481203008
"IRF2","IRF2",0.650779799998378,8,0.1307,0.789289916706104,0.307492481203008
"ELK4","ELK4",0.626727283719381,10,0.1312,0.824544370760809,0.307492481203008
"ETS2","ETS2",0.472979246167036,75,0.1315,1.1077273842327,0.307492481203008
"STAT5B","STAT5B",0.49209920114534,53,0.1366,1.11230269213063,0.317034328358209
"HDAC2","HDAC2",0.522952196085572,32,0.1377,1.08537180316671,0.31722
"NFAT5","NFAT5",0.572403978017744,17,0.1393,0.942820987550797,0.318546323529412
"HIC1","HIC1",0.62283213139026,10,0.1406,0.812465315070835,0.319172262773723
"RFX5","RFX5",0.579910428591277,15,0.1421,0.905705947330415,0.320198591549296
"CREB3L1","CREB3L1",0.620126926050674,10,0.1432,0.795804510181452,0.320198591549296
"PGR","PGR",0.480860924360817,63,0.1442,1.0693710552166,0.320198591549296
"FOSL1","FOSL1",0.630679131515584,9,0.1454,0.787129966468538,0.320198591549296
"TCF7L1","TCF7L1",0.552015566316792,20,0.1462,0.970650194958678,0.320198591549296
"NCOA3","NCOA3",0.624712387245296,9,0.1558,0.739718341870893,0.338714965986395
"CREB3L4","CREB3L4",0.610816637893479,10,0.1585,0.74643589336823,0.338714965986395
"NF1","NF1",0.579486682356145,14,0.159,0.833172291982352,0.338714965986395
"PAX3","PAX3",0.63701142003743,8,0.1595,0.728587856925564,0.338714965986395
